,email_body,sentiment,formality
660,We are only limited by the thought of choosing just one night over the other!,neutral,informal
661,"We are probably going to the Matagorda livestock show and auction this weekend, and maybe the rodeo.",neutral,informal
662,We are really swamped and I would like to keep our involvement in conferences to a reasonable minimum.,neutral,formal
663,"We are very pleased to have you participate in our ""Markets in Transition"" symposium on Thursday, January 10, 2002.",positive,formal
664,We didn't know if you made other plans or moved on since our last discussion a while ago.,neutral,informal
665,We expect the number of U.S. bid cities to be reduced to four finalists by this December as a result of these meetings.,neutral,formal
666,We got a crazy cold spell last week but it should be gone when you come.,neutral,informal
667,"We had a great time this weekend, too.",positive,informal
668,"We had a wonderful, quiet weekend.",positive,formal
669,We had our ten year reunion last weekend...quite strange.,neutral,informal
670,"We have a new online trading system starting Tuesday, ClickPaper.com, and I will need to mirror the Online Trading Database.",neutral,informal
671,We have about 5 couples going right now and the room rate is $440 per couple for all four nights total.,neutral,informal
672,"We have developed a similar model (without some nice functionalities CHARM has) in about two weeks, at request of Rick Jones who joined EES from HSB. Rick worked on a similar model at his old company and wanted to have a similar tool for his projects with Enron.",positive,informal
673,We have had no substantive discussions with VEPCO about this agreement at all.,neutral,formal
674,We have issues with the vendor concerning the late delivery of this equipment.,negative,formal
675,"We have not had a tax, insurance, accounting or finance review of the form for ENA, and with TurborPark closing this week it may be difficult to have completed within the next 24 hours.",negative,informal
676,We have two new lawyers that have joined our Group today: Francisco Pinto-Leite and Frank Sayre.,neutral,formal
677,We haven't worked with a term sheet on the equipment sales I've worked on.,neutral,informal
678,"We moved the equipment straight out of TurboPark and into the llc, then on the same day sold down the equity of the llc.",neutral,informal
679,We need to keep pushing information to them regarding these issues.,neutral,informal
680,"We plan to organize subcommittees dealing with Education, Research, and Trading---so it may just involve two meetings a year.",neutral,informal
681,"We shall give him an offer of a job in Houston (on the terms we discussed with) plus an option to stay in London, if he does not like Houston.",neutral,formal
682,"We should be ok Saturday-Wednesday, since I'm planning on being home, and Paige will be home on Tuesday.",positive,informal
683,We use these case studies during Super Saturdays.,neutral,informal
684,We went out to dinner with the key players and I think they understand our new vision and they appeared to be 20 fired up.,positive,informal
685,"We went to Michael's school on Wednesday, as his class was singing in chapel.",neutral,informal
686,We went to Palacios last weekend.,neutral,informal
687,"We went to the rodeo last night, and I'm really tired today.",negative,informal
688,We will be discussing this possibility with Ernie Cockrell on November 6th.,neutral,formal
689,We will not be able to be there the entire week and we are looking at the exact dates and my schedule - but count us in.,neutral,informal
690,"We'll be turning a new draft to Peoples today or tomorrow, but I figure it needs to go to Allyson now.",neutral,informal
691,We're preparing our Annual End of Year Issue this week and wanted to ask fo r your participation.,neutral,informal
692,"Well, I know this is terribly short notice, but Ken does have a meeting with Tom DeLay on Monday morning at 9:30 a.m.",neutral,informal
693,What about Friday ro Saturday night (your choice).,neutral,informal
694,What about Sep the 11th or Sep the 12th (Monday or Tuesday)?,neutral,informal
695,What audio/video equipment do you need?,neutral,informal
696,What is involved in the site development plan?,neutral,formal
697,What price is to be used for such non scheduled excess volumes?,neutral,formal
698,"When Andre left, we reduced the corporate function to a ""default provider"" role -- if a business unit had a need it was not otherwise meeting, Mike Hicks (as well as an outside consulting firm) would help identify competent resources in the area.",neutral,formal
699,"When John called me last week and asked the question I gave him that opinion, and I had assumed that it had been communicated to you.",neutral,formal
700,"When we had a big group meeting a few months ago we (Legal) were actually surprised by our success level at that time, but these numbers exceed our expectations.",positive,informal
701,"When you have a minute, I've been inputting data all week and have fixes/upgrades we need to the database.",neutral,informal
702,"Will closing and funding take place tomorrow, or will funding be a day later?",neutral,informal
703,"Wish I could give you a great big hug too, but I'm sure Mr. Bean and Greta will drown you in love when you get home to them tonight!",positive,informal
704,"With respect to sales to California, we have concluded at least one short term sale and have talked with Cal Dept of Water Resources about longer term deals, but we were still struggling with credit issues, last I heard.",neutral,informal
705,Wonder how I lose 15 lbs by Thursday?,neutral,informal
706,"Worth, so I will be heading that way on Monday.",neutral,informal
707,"Would you mind calling him and telling him that I am tied up on a conference call that is likely to last until 500, so I can't call him until after then.",neutral,formal
708,"Yes, I am available.",positive,formal
709,"Yes, Lucinda had a little girl last Friday by c-section.",neutral,informal
710,"Yes, there will be different legal/jurisdictional issues.",neutral,formal
711,"Yes, these numbers are the posted volumes according to their bulletin board.",neutral,informal
712,"You have the list that Gregg prepared on commercial/legal to do's, and he and I will work on those things next week.",neutral,informal
713,Your December 2001 issue of E-lert for personal development in business is now available on http://www.BusinessCafeOnline.com,neutral,formal
714,Your card will be available for the next 90 days.,neutral,formal
715,Dear Mr. Lay: I would like to meet with you concerning my being the new CFO for Enron.,neutral,formal
716,"I plan to be in Houston several times throughout the month, and I'm available to meet at your convenience.",neutral,formal
717,I shall see you on Friday.,neutral,formal
718,"I wanted to discuss the confidentiality agreements, and whether you envision that other confidentiality agreements may be necessary or required.",neutral,formal
719,I will see you at 9 am on Sunday.,neutral,informal
720,"I would like to invite you to address the group on E-Commerce issues at our next meeting (Friday, September 8th in Houston).",positive,formal
721,"I'm under the gun right now, but will you be available on Friday for a chat?",neutral,informal
722,Lets get together for dinner.,neutral,informal
723,"My schedule should be getting better (famous last words), and I hope we can get together soon.",positive,informal
724,"The theme for the walk this year is ""Knock Out Diabetes"" and we would like to have you join us for this great event.",positive,informal
725,We're preparing our Annual End of Ye ar Issue this week and wanted to ask for your participation.,neutral,informal
726,Why don't we chat (via email!) Monday and figure out the best way to go.,neutral,informal
727,A week later?,neutral,informal
728,"After you have had the opportunity to review my resume I would like the opportunity to discuss, in person or by phone teleconference my potential employment opportunities with your company.",neutral,formal
729,"Also, we could have some general, preliminary discussions with VEPCO about it, if we feel ready.",neutral,informal
730,"And at 2pm, we'd like you to meet with our QCF students for an hour or so.",neutral,informal
731,Coffee early next week would work for me.,positive,informal
732,Frank and I were thinking we might want to get together sometime next week to discuss this.,neutral,informal
733,Friday is good for me.,positive,informal
734,"Full meal plan: breakfast, lunch, dinner daily;?",neutral,informal
735,"Graydon: I was thinking i may come into Austin this weekend to do some sking on lake austin, let me know if that is good.",neutral,informal
736,Hi. Who can meet when?,neutral,informal
737,"However, Mike asked that I pass along to you my phone and e-mail information so that you may contact me to schedule the meeting to discuss LNG projects.",neutral,formal
738,"However, if you are free Thursday eve.",neutral,informal
739,I am glad you can speak at our lunch meeting on Feb 15.,positive,formal
740,I shall be glad to help to arrange a meeting with Prof. Ikenberry.,positive,formal
741,I shall be glad to join you at the dinner and on Saturday.,positive,formal
742,I shall be glad to join you for lunch with MEC.,positive,formal
743,I shall be glad to meet on Thursday for dinner.,positive,formal
744,I shall join you.,neutral,formal
745,I was pleased to have an opportunity to meet with you and Linda in April to discuss the Library/Honors campaign.,positive,formal
746,I will attempt to get educated first and then we will set up a meeting.,neutral,formal
747,I will leave SA on Friday at noon if you want a ride home or if you want me to follow you.,neutral,informal
748,I will make myself available after class to meet with whoever you want me to meet with.,neutral,formal
749,I would appriciate if you would send to me each week the PGE Position Report.,neutral,formal
750,I'll be in Houston for the next three weeks if you want to talk to me.,neutral,informal
751,I'll look over the list and give you a call after lunch.,neutral,informal
752,Let's just assume I'll be out Friday afternoon.,neutral,informal
753,"Let's plan for a celebration next week, Thursday.",positive,informal
754,Maybe after you look at things we can discuss it.,neutral,informal
755,Maybe next week.,neutral,informal
756,Maybe on Saturday.,neutral,informal
757,Monday would work for us.,positive,informal
758,"Ms. Peppers, I am very sorry, but I must once again reschedule the appointment that you have with Mr. Lay.",negative,formal
759,"NOTE: If you are unable to participate, you may hear the replay until 5:00 p.m. on Friday, January 18:",neutral,formal
760,Next Saturday or Sunday would work for me.,positive,informal
761,OK. Friday was going to be really difficult for me anyway.,negative,informal
762,"Should you not be able to call me, then I will send you a short memorandum about the situation on Monday.",neutral,formal
763,"Since you will not be able to attend the first meeting, I would like to arrange a visit by you to the Bauer College sometime in the near future, at your convenience.",neutral,formal
764,"Since you've been out of town so much, would it help if I took off Friday so that you can catch up?",neutral,informal
765,"So we don't have problems with Canadian counterparties, I would like to change that to 365/366 accross the board.",neutral,informal
766,"Sorry for the late notice, I forgot I had a dentist appointment at 3:00, I can meet any other day this week.",neutral,informal
767,"Sorry, I can't participate on Saturday.",negative,formal
768,The copy of the review is available if you want to take a look at it.,neutral,informal
769,"The dinner is in River Oaks, so we could just drop him off.",neutral,informal
770,The entire week of the 11th does not look good for me.,negative,informal
771,This is in follow-up to the deal transfer matter we discussed this morning.,neutral,formal
772,Tuesday or Wednesday would work.,neutral,informal
773,Tuesday would work better for me.,positive,informal
774,We are meeting with GE tomorrow to talk about this.,neutral,informal
775,We are not ready to execute an agreement with them until we have had some discussions with them about their authority.,neutral,formal
776,We are organizing a group with RAC to send a few people to this conference at a discount to full cost.,neutral,informal
777,We asked our geophysicists for help and are shooting for a meeting on Thursday to run our ideas by them.,neutral,informal
778,We deferred discussions about an extension until Monday.,neutral,formal
779,"We discussed it with Vivian Shudde, and she suggested that I give you a call about the Grace School.",neutral,informal
780,"We have you scheduled to present to students on 11/15 from 11-2, and on 11/16 to present a seminar to the finance faculty.",neutral,formal
781,We hope you will join us for this exciting event and we look forward to seeing you there.,positive,formal
782,We made arrangements to go on Thursday and stay Thursday night.,neutral,informal
783,We need to cancel Michael's appt with Sharon for that Monday.,neutral,informal
784,We need to follow-up because his dad is on the board with me for JDF and he was the number 2 guy at Compaq with Rod Canion.,neutral,informal
785,We plan to fly out on Tuesday and return on Saturday.,neutral,informal
786,We proably need to meet for a few minutes to explain the way I estimated charges.,neutral,informal
787,We should cancel the meeting for the time being and let Rick obtain clarification of some issues from AA.,neutral,formal
788,We still have a few binders with the presentation materials available if you are interested.,positive,informal
789,"We will, in fact, be discussing it at our group meeting next week.",neutral,formal
790,We would like to do some more if possible today or tomorrow.,positive,formal
791,We'll have to reschedule.,neutral,informal
792,We'll meet in the mayor's office at 11:30 and I would be most grateful if I can say you're on board.,positive,formal
793,"Wednesday, 1:00 works for me.",positive,informal
794,"Wednesday, April 19 works for me.",positive,informal
795,"Were you serious about our conversation Friday, or were you kidding me?",neutral,informal
796,What could be better than a meeting on an interconnection agreement?,positive,informal
797,What sandwich would you like to have for lunch?,neutral,informal
798,When are you thinking of meeting with Beck?,neutral,informal
799,When you guys have some time it is probably worth taking a half hour to discuss it.,positive,informal
800,"With respect to Online Trading, Mark wanted me to follow up with you re: insurance/reinsurance company issues.",neutral,formal
801,Would it be possible for you to be in Houston this Friday morning for the GE meeting?,neutral,formal
802,Would it be possible to ask some key people from our Credit Dept. to attend this semiar?,neutral,informal
803,"Would love to attend, but I will be out on vacation.",positive,informal
804,You can reach me on Thursday at my cell phone 713 410 5396.,neutral,informal
805,You guys just peeked my interest last time and I would like to continue discussions.,positive,informal
806,You must assume that this report will become public eventually.,neutral,formal
807,You need to talk to your mom and decide if we are going this weekend.,neutral,informal
808,You were assigned NO tasks this week!,neutral,informal
809,Are you available this afternoon to talk to him with me?,neutral,informal
810,Are you guys still thinking of maybe joining us skiing?,neutral,informal
811,"By the way, are you free for dinner on Monday?",neutral,informal
812,Call me so that we can discuss.,neutral,informal
813,Can we discuss this again by pbone?,neutral,informal
814,Can we pow wow about this 1st thing Monday...,neutral,informal
815,Can we reschedule the dinner?,neutral,informal
816,Can you meet me there to do house & yard clean up day?,neutral,informal
817,"Carolyn and/or John, could one or both of you give me a call as soon as you are available for a conference call with Chris Calger, Steve and me.",neutral,informal
818,"Do you want to get together a few minutes early tomorrow to discuss indemnity/LOL, etc?",neutral,informal
819,Don't know if you are an Astros fan but we would love to have you and Ann join us at one of the games.,positive,informal
820,Feel free to call me when you have a moment to discuss further.,neutral,formal
821,"Greg: I will not be able to go to lunch with you, dinner is possible.",negative,informal
822,I can be reached at 713-783-1223 if you want to further discuss scheduling of a meeting.,neutral,formal
823,"I can call you when I get out of my meeting, but it might be awhile.",neutral,informal
824,"I know you guys just got back from a vacation, but were wondering if you might like to join us for a skiing trip to Deer Valley.",neutral,informal
825,I shall ask him to give you a call and will be glad to join you at the meeting with Martin.,positive,formal
826,I shall be glad to join you for dinner on Sunday.,positive,formal
827,I shall be glad to meet and discuss the project.,positive,formal
828,I shall be glad to meet you on the 13th.,positive,formal
829,I shall call you with the details later this week.,neutral,formal
830,I shall schedule a meeting with you next week to discuss how we can help you,neutral,formal
831,I shall stop by tomorrow to say hello.,neutral,formal
832,I think that you should spend here at least 3 weeks.,neutral,informal
833,I thought maybe if it met w/your running schedule you might want to join us...,neutral,informal
834,I would like to invite you to visit us in the Woodlands one weekend in July.,positive,formal
835,I would love to see us playing golf together someday at a big CEO conference.,positive,informal
836,I'll talk to you about it tomorrow.,neutral,informal
837,I'm in all day and tomorrow if you want to discuss.,neutral,informal
838,"If either of those issues come up, let me know.",neutral,informal
839,"If so, I will call you to discuss next steps in formulating a responsible energy policy for America.",neutral,formal
840,"If you have any comments or questions you would like to discuss with me, do not hesitate to call me at (713) 853-3399.",neutral,formal
841,"If you permit, I would love to discuss them with you.",positive,formal
842,"Just a note to remind you about something we need to discuss tomorrow, Transco Zone 6.",neutral,informal
843,Just a reminder to talk to me Monday about the utilities.,neutral,informal
844,"Ken, I would like to like to schedule a meeting with you to discuss your corporate customer service initiatives.",positive,formal
845,"Ken, With all that has transpired in the last several weeks, I know that you must be incredibly busy; but if you can work it in, John Kelley and I would like to meet with you for about 30-40 minutes to give you an update on two initiatives, listed below, aimed at getting the 2012 Olympics to Houston. 1. Conversion of the Astrodome to a track and field facility.",neutral,formal
846,Let me know if you would like to grab a drink over the next 2 weeks.,neutral,informal
847,Let's discuss in person.,neutral,informal
848,Let's discuss this.,neutral,informal
849,Let's discuss upon your return on our weekly call.,neutral,formal
850,Let's get together this week with Ted and discuss the future.,neutral,informal
851,Let's meet 11:30 at the lobby.,neutral,informal
852,Let's plan to meet for dinner then.,neutral,informal
853,Lets discuss when I am in Dubai.,neutral,informal
854,"On Wednesday, we'll examine the impact if George W. Bush wins.",neutral,informal
855,Please call if you would care to discuss.,neutral,formal
856,"Please call me, Maureen McVicker, at 3-1808 and I will get you on his schedule for next week.",neutral,informal
857,Please call so that we can discuss.,neutral,formal
858,"Please do not hesitate to contact m e if you would like to discuss these materials further, or if there is anythi ng else that I can do to assist you.",neutral,formal
859,Please give me a call next week and we can discuss this in more detail.,neutral,informal
860,"Please, call me on Tuesday.",neutral,informal
861,"Reflecting on the events of the past several months, I would like to talk with you regarding how my extensive experience in managing and divesting Enron's foreign and domestic businesses and assets could be utilized by the company on an interim basis.",neutral,formal
862,See you at 11:45 tomorrow.,neutral,informal
863,"Sounds good to me! Saturday, 8:00 am at Buffalo Grille it is!",positive,informal
864,"Thanks and if you have any questions about the process and what we are looking for, please don't hesitate to discuss with both of us.",positive,formal
865,There is a lot going on here and in S America and we can probably discuss it next week.,neutral,informal
866,"Time permitting, we can discuss the ESA transaction once we are done with the GE stuff.",neutral,informal
867,We can make reservations for dinner around 6:30 - 7:00 in a resturant within 10 minutes by car from the hotel.,neutral,informal
868,We have a conference call at 200 with Delta.,neutral,informal
869,We'd love to take you to dinner.,positive,informal
870,What are we doing for dinner tonight?,neutral,informal
871,When are you available to discuss how to deal with the various issues we need to address to get this wrapped up?,neutral,formal
872,When we get this to 20 the next step lets discuss and we can get both of us on the same page as to 20 the best way to coordinate all these efforts.,positive,informal
873,"When we get together to discuss stuff, maybe we can review this.",neutral,informal
874,When would you like to discuss utilities...?,neutral,formal
875,"When you get a chance and things settle down, please give me a call or I can definitely find time for lunch.",positive,informal
876,Would you like to join me?,neutral,informal
877,You and I need to sit down and discuss in some detail John Ale's contract and yours.,neutral,informal
878,Please contact Sherri Sera (713/853-5984) or Katherine Brown (713/345-7774) for the weekly dial-in number and passcode.,neutral,formal
879,"Please see if he is available to meet on Monday afternoon, preferably in New York (although I'll confirm later).",neutral,informal
880,"Please, remind me about it on Thursday (old age and the hectic pace here start showing up).",neutral,informal
881,Would you consider being a keynote speaker at this conference (Feb 22 evening)?,neutral,informal
882,"Also, can you find a conference room?",neutral,informal
883,"Also, please plan for a trip to London in 3-4 weeks.",neutral,informal
884,Apparently you promised to send a postcard every week or something.,neutral,informal
885,Are we having your group meeting today?,neutral,informal
886,Are you available any time this week?,neutral,informal
887,Are you doing anything tomorrow night?,neutral,informal
888,Are you going to vegas in two weeks?,neutral,informal
889,"As a courtesy to Maureen Raymond, please, discuss the timing with her.",neutral,formal
890,"As a follow-up to those meetings and our QBR, Jeff and I would 20 like you to prepare a more definite business plan for the future.",neutral,formal
891,Attached is the accomplishment discussion to go with the public affairs goals -- let me know if this is sufficient and consistent with what you want to present....,neutral,informal
892,Can you get me a draft by Friday am?,neutral,informal
893,Did you watch our boy Rudy Saturday night?,neutral,informal
894,Do you have the draft with the memo of issues?,neutral,formal
895,"Do you want a bilateral or one-way, and what is the nature of your discussions?",neutral,formal
896,Do you want to run Saturday again.,neutral,informal
897,"I know we didn't meet yet, but I need to ask you and Nancy a small favor.",neutral,informal
898,"If so, please advise of any time you have available on Monday, and I'll get it set up.",neutral,informal
899,"If the agreement meets with your approval, please execute it and return it to me via fax no.",neutral,formal
900,"If the agreement meets with your approval, please have an authorizied officer of the company execute it and return the signed document to me at the fax number below.",neutral,formal
901,"If the amendment meets with your approval, please have two copies executed by an authorized officer of J. Aron and return them to me for signature by Enron.",neutral,formal
902,"If the enclosed meets with your approval, please execute the agreement and return it to me via fax no.",neutral,formal
903,"If the enclosed meets with your approval, please have an authorized officer execute two copies and return them to me for execution by Enron.",neutral,formal
904,"If the enclosed meets with your approval, please sign the attached and return it to me via fax no.",neutral,formal
905,"If you don't hear from me by Wednesday, it's OK to post it.",neutral,informal
906,"If you have any comments or questions you would like to discuss with me, do not hesitate to call me at (713) 853-3399 .",neutral,formal
907,"If you have any comments or questions you would like to discuss, please do not hesitate to call me at (713) 853-3399.",neutral,formal
908,"If you have any comments or questions, please call Mark Greenberg, Senior Counsel, at (713) 345-8897as I will be on vacation the rest of this week.",neutral,formal
909,Is the 3:00 p.m. panel on Monday or Tuesday?,neutral,informal
910,"Is there a conference call scheduled for today, and is Boyd available tomorrow?",neutral,formal
911,Is your inquiry confidential or can I discuss it with others?,neutral,formal
912,Joe - can you attend?,neutral,informal
913,"Just following up to my call to you, if you could please provide any documentation to John in an envelope prior to the Monday meeting, I would appreciate it.",neutral,formal
914,Let me know when you want to discuss comp issues.,neutral,informal
915,"My assistant, Shirley Crenshaw, will schedule a meeting.",neutral,formal
916,My recommendation would be to ask Maureen to attend sensitivity training and sexual harassment prevention class.,neutral,formal
917,"Of course, this doesn't apply to any funds held in a jointly owned bank or trust account, right?",neutral,informal
918,"Per our conversation last night, can you take a look at my list of country product approvals and let me know if there are any updates to the information.",neutral,formal
919,Please join me in wishing Carolyn the very best in her new venture.,positive,formal
920,"Rich, tell me this meeting is work related.",neutral,informal
921,Set up a quick 15 minute meeting with Lon and Laura Scott with respect to the income statement.,neutral,formal
922,"Since I've had to miss the first 2 meetings due to travel, is it possible for me to drop off my check and pick up any materials?",negative,informal
923,"Sorry to have missed you at the investor presentation last week, if you or beau want any of the slides please let me know and we will forward them.",neutral,informal
924,"We will have another drawing early next week, so please logon now to UnitedWay.enron.com.",neutral,informal
925,When you arrive Monday can you let me know how long it will take you to have that sort working.,neutral,informal
926,Would you like to set up this meeting or would you like me to?,neutral,formal
927,You can send me an E-mail message and my secretary will contact to confirm the date and place of the meeting.,neutral,formal
928,"You may depart on Sundays to Wednesdays, between January 6 and January 23, 2002.",neutral,formal
929,You will meet with more than 150 senior power industry developers and advisors for the most in-depth look at NA power markets available to you.,positive,formal
930,"Also, please strongly consider having the Board meeting on Tuesday afternoon in lieu of the golf outing.",neutral,formal
931,Can we wait until Tuesday to send out?,neutral,informal
932,Can you please print me 20 color copies of these reports just this week.,neutral,formal
933,Can you send me a copy by Monday.,neutral,informal
934,Could you call Bill and discuss?,neutral,informal
935,Could you check with Steve and his wife for their availability on Sunday.,neutral,informal
936,"Could you let me know if Enron would be interested in sponsoring a team next semester, and who my point of contact should be in the event that you would like to participate?",neutral,formal
937,Could you please provide me with the exact address so that I can send this overnight to your attention.,neutral,formal
938,Get me the roll off schedule for cnr over the next couple of years.,neutral,informal
939,"If the agreement meets with your approval, please return a copy to me via fax no.",neutral,formal
940,"If the enclosed meets with your approval, please have the agreement executed by an authorized officer of webMethods and return the copy to me for execution by Enron.",neutral,formal
941,"If you are interested in being a team leader, please contact one of the following people immediately so that you may be included in the first important and informative training session taking place this week.",positive,formal
942,"If you don't get it tomorrow, let me know.",neutral,informal
943,"Jan, Can you let Christian know that I will not be in the office on Friday.",neutral,informal
944,"Let me know when a convenient time would be for you, maybe Tuesday sometime?",neutral,informal
945,"Note: If you have already registered for this conference, or would like to be taken off the email list, please reply to this email and type in UNSUBSCRIBE in the subject line.",neutral,formal
946,Please advise if this works with your schedule.,neutral,formal
947,Please call Ben Jacoby and see if we can push our meeting to 230.,neutral,informal
948,Please call Cathy at 36898 and get on my calendar for a 1 hour update.,neutral,informal
949,Please call John Keffer and re-schedule Thursday's lunch - two meeting have come up.,neutral,informal
950,"Please call Lee Johnson and tell him that one of our development lawyers, Roger Balog, would like 2 tickets for Friday.",neutral,informal
951,Please call Stan at 713 853 6177 and discuss with him.,neutral,informal
952,Please call my assistant to set up an appointment for Early Tuesday.,neutral,formal
953,"Please confirm your participation as soon as possible, preferably by the end of this week or the beginning of next week, as speaking positions will fill quickly.",neutral,formal
954,Please contact Cathy Phillips via e-mail or call 713-853-6898 to schedule time with Mike.,neutral,informal
955,"Please contact me at your earliest convenience by email or phone at the numbers below to discuss things if you think it would be a possibility or, if you would like more information on the context of the work and subject matter in AspenTech's core businesses.",neutral,formal
956,Please continue to let me know about future meetings.,neutral,formal
957,"Please email me a brief overview of what these documents are, how they fit into the overall picture, and the issues which need the most scrutiny.",neutral,formal
958,Please email me with the specific performance language you want to add to meet their request.,neutral,informal
959,"Please email the session descriptions by Tuesday, November 20.",neutral,formal
960,Please explain how the loss of Buyer's market could be due to an event of Force Majeure and why the Buyer should not be required to find a new market during such period.,negative,formal
961,Please handle at the Audit Committee meeting.,neutral,formal
962,Please indicate below whether or not you plan to attend this meeting and through what medium.,neutral,formal
963,Please keep this news to yourself until next week.,neutral,informal
964,Please let me know by tomorrow morning if you have any comments.,neutral,formal
965,Please let me know when you are ready to discuss.,neutral,formal
966,Please let us know if you would like to attend and I will see that you receive a formal invitation.,neutral,formal
967,"Please protect Thursday afternoon, August 10th for me.",neutral,informal
968,Please remove me from your email list for further HTC events.,negative,formal
969,Please review the attached document to see if it reflects the matters we discussed.,neutral,formal
970,Please review to see if I have made all of the changes you discussed with them.,neutral,formal
971,Please send to Jeff for final review and one more pass thru the business units on Monday.,neutral,informal
972,"Please set up a conference call for tomorrow, 830 Houston time, and advise the following of the details:",neutral,formal
973,"Please tell Mike that I'm on a conference call, but can step out if he wants to come up.",neutral,informal
974,"Please, let me know if you want somebody from your organization at the meeting.",neutral,formal
975,"Please, let me know the details of the dinners.",neutral,formal
976,"Please, put it on my calendar.",neutral,informal
977,"Please, put it on my schedule.",neutral,formal
978,"Please, put on my calendar",neutral,informal
979,"Please, put on my schedule.",neutral,informal
980,"Please, register me for this conference.",positive,formal
981,"Please, set up a meeting with me, Nelson and Vasant.",neutral,informal
982,"Shirley, Please, put it on my calendar.",neutral,informal
983,"Shirley, Please, put on my schedule.",neutral,informal
984,Tana - can you fax me the final executed copies of the following agreements we did this week:,neutral,informal
985,Why don't you try feeding her again at night?,neutral,informal
986,Would you allow us to get you comments by 9:00AM tomorrow?,neutral,formal
987,Could you call me on Monday with further information on our panel?,neutral,formal
988,Please call me at your convenience to discuss.,neutral,formal
989,Please call the list around 200 to see if people are available.,neutral,informal
990,Please give us a call tomorrow to discuss briefly.,neutral,informal
991,Please review the below and lets discuss if this really works.,neutral,informal
